iter	Passed	Remaining
0	164	163978
1	164	82265
2	165	54999
3	166	41352
4	166	33163
5	167	27693
6	167	23785
7	168	20852
8	168	18569
9	169	16744
10	169	15249
11	170	14005
12	170	12953
13	171	12054
14	171	11280
15	172	10599
16	172	9997
17	173	9461
18	173	8983
19	174	8551
20	175	8160
21	175	7805
22	176	7480
23	176	7182
24	177	6907
25	177	6653
26	178	6418
27	178	6199
28	179	5996
29	179	5805
30	180	5628
31	180	5461
32	181	5305
33	181	5157
34	182	5019
35	182	4888
36	183	4764
37	183	4646
38	184	4534
39	184	4429
40	185	4330
41	185	4238
42	186	4147
43	186	4060
44	187	3977
45	187	3897
46	188	3821
47	188	3747
48	189	3677
49	189	3609
50	190	3544
51	190	3481
52	191	3420
53	191	3362
54	192	3305
55	192	3251
56	193	3199
57	193	3148
58	194	3099
59	194	3052
60	195	3006
61	195	2962
62	196	2919
63	196	2878
64	197	2837
65	197	2801
66	198	2763
67	198	2724
68	199	2688
69	199	2654
70	200	2620
71	200	2588
72	201	2557
73	201	2526
74	202	2496
75	202	2466
76	203	2437
77	203	2409
78	204	2382
79	204	2355
80	205	2329
81	205	2304
82	206	2279
83	206	2255
84	207	2230
85	207	2206
86	207	2182
87	208	2160
88	208	2138
89	209	2117
90	209	2097
91	210	2076
92	210	2056
93	211	2037
94	212	2019
95	212	2002
96	213	1984
97	213	1966
98	214	1949
99	214	1931
100	215	1915
101	215	1896
102	215	1880
103	216	1864
104	216	1848
105	217	1833
106	217	1818
107	218	1803
108	218	1789
109	219	1774
110	219	1760
111	220	1746
112	220	1732
113	221	1719
114	221	1706
115	222	1692
116	222	1679
117	223	1667
118	223	1654
119	223	1642
120	224	1630
121	224	1619
122	225	1605
123	225	1594
124	226	1583
125	226	1572
126	227	1561
127	227	1549
128	227	1539
129	228	1528
130	228	1518
131	229	1508
132	229	1498
133	230	1489
134	230	1479
135	231	1470
136	231	1460
137	232	1450
138	232	1441
139	233	1432
140	233	1423
141	234	1415
142	234	1406
143	235	1397
144	235	1389
145	236	1381
146	236	1373
147	237	1365
148	237	1357
149	238	1349
150	238	1341
151	239	1334
152	239	1327
153	240	1319
154	240	1312
155	241	1305
156	241	1297
157	242	1290
158	242	1283
159	243	1276
160	243	1269
161	244	1262
162	244	1256
163	245	1249
164	245	1242
165	246	1236
166	246	1229
167	247	1223
